CUSTOMER_ID,FIRST_NAME,LAST_NAME,COUNTRY,SEGMENT,SIGNUP_DATE,IS_ACTIVE
1000.0,First0,Last0,DK,WHOLESALE,2023-02-02,1
1001.0,First1,Last1,DE,ONLINE,2023-10-10,0
1002.0,First2,Last2,NL,ONLINE,2023-08-27,0
1003.0,First3,Last3,NL,RETAIL,2023-06-10,0
1004.0,First4,Last4,SE,RETAIL,2023-06-08,1
1005.0,First5,Last5,NO,WHOLESALE,2023-11-10,0
1006.0,First6,Last6,NO,RETAIL,2023-02-01,0
1007.0,First7,Last7,SE,ONLINE,2023-09-12,0
1008.0,First8,Last8,SE,RETAIL,2023-03-15,1
1009.0,First9,Last9,SE,RETAIL,2023-02-04,1
1010.0,First10,Last10,NL,RETAIL,2023-07-12,0
1011.0,First11,Last11,DE,ONLINE,2023-12-23,0
1012.0,First12,Last12,NL,RETAIL,2023-09-26,0
1013.0,First13,Last13,NL,RETAIL,2023-10-05,1
1014.0,First14,Last14,NL,RETAIL,2023-09-19,1
1015.0,First15,Last15,DK,RETAIL,2023-10-14,0
1016.0,First16,Last16,NL,RETAIL,2023-07-07,0
1017.0,First17,Last17,DK,WHOLESALE,2023-02-16,1
1018.0,First18,Last18,NO,RETAIL,2023-11-03,1
1019.0,First19,Last19,NO,ONLINE,2023-06-14,0
1020.0,First20,Last20,SE,ONLINE,2023-07-02,0
1021.0,First21,Last21,DK,RETAIL,2023-05-16,1
1022.0,First22,Last22,DK,RETAIL,2023-03-08,1
1023.0,First23,Last23,NL,WHOLESALE,2023-12-05,1
1024.0,First24,Last24,  dk ,RETAIL,2023-10-13,0
1025.0,First25,Last25,SE,RETAIL,2023-08-24,0
1026.0,First26,Last26,NL,ONLINE,2023-05-27,1
1027.0,First27,Last27,DK,ONLINE,2023-10-28,1
1028.0,First28,Last28,NL,WHOLESALE,2023-07-19,1
1029.0,First29,Last29,NL,RETAIL,2023-06-11,0
1030.0,First30,Last30,NO,WHOLESALE,2023-06-14,1
1031.0,First31,Last31,DK,WHOLESALE,2023-03-24,0
1032.0,First32,Last32,DK,RETAIL,2023-02-03,0
1033.0,First33,Last33,SE,WHOLESALE,2023-07-22,1
1034.0,First34,Last34,NO,RETAIL,2023-11-21,1
1035.0,First35,Last35,DK,RETAIL,2023-01-24,1
1036.0,First36,Last36,NO,RETAIL,2023-11-10,1
1037.0,First37,Last37,DK,RETAIL,2023-10-30,0
1038.0,First38,Last38,NO,RETAIL,2023-04-12,1
1039.0,First39,Last39,DK,ONLINE,2023-08-19,0
1040.0,First40,Last40,DE,ONLINE,2023-03-02,0
1041.0,First41,Last41,DK,RETAIL,2023-10-04,1
1042.0,First42,Last42,DK,ONLINE,2023-09-13,1
1043.0,First43,Last43,DK,ONLINE,2023-05-10,1
1044.0,First44,Last44,NL,RETAIL,2023-01-25,0
1045.0,First45,Last45,DK,RETAIL,2023-12-21,1
1046.0,First46,Last46,NO,RETAIL,2023-06-12,0
1047.0,First47,Last47,NO,RETAIL,2023-11-22,1
1048.0,First48,Last48,  dk ,WHOLESALE,2023-09-05,1
1049.0,First49,Last49,DE,RETAIL,2023-10-12,1
1050.0,First50,Last50,NL,RETAIL,2023-10-05,0
1051.0,First51,Last51,  dk ,RETAIL,2023-03-13,0
1052.0,First52,Last52,  dk ,RETAIL,2023-05-13,0
1053.0,First53,Last53,SE,ONLINE,2023-06-20,1
1054.0,First54,Last54,NL,RETAIL,2023-07-01,1
1055.0,First55,Last55,NO,RETAIL,2023-01-16,0
1056.0,First56,Last56,  dk ,RETAIL,2023-07-19,1
1057.0,First57,Last57,NL,RETAIL,2023-02-26,1
1058.0,First58,Last58,DE,RETAIL,2023-09-29,0
1059.0,First59,Last59,NL,RETAIL,2023-09-07,0
1060.0,First60,Last60,  dk ,RETAIL,2023-12-03,1
1061.0,First61,Last61,DK,RETAIL,2023-09-29,1
1062.0,First62,Last62,NO,ONLINE,2023-05-14,0
,First63,Last63,DK,WHOLESALE,2023-12-20,1
1064.0,First64,Last64,NL,WHOLESALE,2023-05-30,1
1065.0,First65,Last65,SE,WHOLESALE,2023-04-29,1
1066.0,First66,Last66,SE,WHOLESALE,2023-11-27,1
1067.0,First67,Last67,SE,RETAIL,2023-05-16,1
1068.0,First68,Last68,DE,RETAIL,2023-01-28,0
1069.0,First69,Last69,NO,RETAIL,2023-06-21,0
1070.0,First70,Last70,NL,RETAIL,2023-10-18,0
1071.0,First71,Last71,NO,ONLINE,2023-03-11,1
