cust_id,eff_dt,full_nm,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,load_dttm
CUS-0001001,20241130,Ahmad Karimi,19631210,MX,MX,CORP,EDUC,N,BUSPRT,DIGITAL,31DEC2024:21:00:07
CUS-0001002,20241130,Sergei Wolkov,19570704,CA,CA,IND,FINC,N,INVST,INTRO,31DEC2024:21:00:14
CUS-0001003,20241130,Chen Wei,19950520,DK,DK,IND,RETL,N,SAL,BRANCH,31DEC2024:21:00:21
CUS-0001004,20241130,Alexander Petrov,19890709,BE,BE,IND,CASI,N,SAL,DIGITAL,31DEC2024:21:00:28
CUS-0001005,20241130,Lena Fischer,19920620,CA,CA,CORP,MGMT,N,INHRT,BRANCH,31DEC2024:21:00:35
CUS-0001006,20241130,Emre Yıldız,19880519,FR,FR,IND,EDUC,N,INHRT,BRANCH,31DEC2024:21:00:42
CUS-0001007,20241130,Oyin Akerele,19561014,IQ,IQ,CORP,HLTH,N,OTHR,DIGITAL,31DEC2024:21:00:49
CUS-0001008,20241130,Chiamaka Obi,19870228,CA,CA,IND,CASI,N,INVST,DIGITAL,31DEC2024:21:00:56
CUS-0001009,20241130,Björn Lindberg,19800115,MX,MX,FUND,CASI,N,INVST,DIGITAL,31DEC2024:21:01:03
CUS-0001010,20241130,Anna Kowalski,19451128,TH,TH,IND,MGMT,N,BUSPRT,INTRO,31DEC2024:21:01:10
CUS-0001011,20241130,Fiona MacLeod,19761115,AU,AU,IND,FINC,N,INHRT,DIGITAL,31DEC2024:21:01:17
CUS-0001012,20241130,Stefan Weber,19890804,NL,NL,IND,HLTH,N,SAL,DIGITAL,31DEC2024:21:01:24
CUS-0001013,20241130,Uchenna Nwosu,19710208,KP,KP,FUND,ENGG,Y,INVST,INTRO,31DEC2024:21:01:31
CUS-0001014,20241130,Vigdis Larssen,19900517,FR,FR,CORP,MGMT,N,OTHR,BRANCH,31DEC2024:21:01:38
CUS-0001015,20241130,Vera Sorokin,19690420,AU,AU,CORP,CASI,N,SAL,DIGITAL,31DEC2024:21:01:45
CUS-0001016,20241130,Matthias Zimmermann,19770527,GB,GB,IND,RETL,N,BUSPRT,DIGITAL,31DEC2024:21:01:52
CUS-0001017,20241130,Seun Adesanya,19730916,SY,SY,TRUST,EDUC,N,OTHR,DIGITAL,31DEC2024:21:01:59
CUS-0001018,20241130,Olusegun Babalola,19890419,AT,AT,TRUST,GAMB,N,BUSPRT,DIGITAL,31DEC2024:21:02:06
CUS-0001019,20241130,Antoine Dubois,19960713,AU,AU,IND,DEAL,N,OTHR,DIGITAL,31DEC2024:21:02:13
CUS-0001020,20241130,Riku Mäkinen,19820628,DK,DK,IND,CASI,N,SAL,BRANCH,31DEC2024:21:02:20
CUS-0001021,20241231,Kenji Watanabe,19711105,TR,TR,IND,HLTH,N,BUSPRT,BRANCH,31DEC2024:21:02:27
CUS-0001022,20241231,Nadia Hoffmann,19990628,TH,TH,IND,EDUC,N,OTHR,DIGITAL,31DEC2024:21:02:34
CUS-0001023,20241231,Monique Laurent,19471003,AT,AT,CORP,DEAL,N,OTHR,DIGITAL,31DEC2024:21:02:41
CUS-0001024,20241231,Emma Johansson,19511123,DK,DK,IND,FINC,N,OTHR,BRANCH,31DEC2024:21:02:48
CUS-0001025,20241231,Paula Herrera,19480512,CA,CA,IND,RETL,N,SAL,BRANCH,31DEC2024:21:02:55
CUS-0001026,20241231,Konstantinos Papadopoulos,19560306,GB,GB,IND,HLTH,N,BUSPRT,INTRO,31DEC2024:21:03:02
CUS-0001027,20241231,Katarzyna Wiśniewska,19741109,MX,MX,TRUST,FINC,N,BUSPRT,INTRO,31DEC2024:21:03:09
CUS-0001028,20241231,Blessing Osei,19730619,DK,DK,IND,CASI,N,INVST,INTRO,31DEC2024:21:03:16
