wl_id,wl_nm,wl_typ_cd,wl_cntry_cd,list_src_cd,list_dt,wl_dob
WL-SANC-001,AHMAD KARIMI,SANCTION,KP,OFAC,20240101,19670408
WL-SANC-002,IBRAHIM AL-RASHIDI,SANCTION,SY,UN,20240101,19561124
WL-SANC-003,SERGEI VOLKOV,SANCTION,ZA,OFAC,20240101,19770101
WL-SANC-004,HASSAN NAZARI,SANCTION,IQ,OFAC,20240101,19640920
WL-SANC-005,PYONGYANG TRADING CO,SANCTION,AF,UN,20240101,19621221
WL-SANC-006,TEHRAN EXPORT BANK,SANCTION,ZA,EU,20240101,19640819
WL-SANC-007,DIMITRI SOKOLOV,SANCTION,MM,OFAC,20240101,19601214
WL-SANC-008,MARIA PETROV,SANCTION,BY,EU,20240101,19590425
WL-SANC-009,JOSE ESCOBAR REYES,SANCTION,BY,OFAC,20240101,19550704
WL-SANC-010,FATIMA KHALIL,SANCTION,CN,EU,20240101,19660124
WL-SANC-011,AHMED KARIMI,SANCTION,IR,EU,20240101,
WL-SANC-012,IBRAHIM RASHIDI,SANCTION,IQ,OFAC,20240101,
WL-PEP-001,JEAN-PAUL MARCHAND,PEP,NG,INTERNAL,20240101,19620213
WL-PEP-002,CHEN WEI,PEP,CH,INTERNAL,20240101,19620527
WL-PEP-003,OLUWASEUN ADEYEMI,PEP,AF,INTERNAL,20240101,19630423
WL-PEP-004,RAJESH KUMAR SHARMA,PEP,SE,INTERNAL,20240101,19461108
WL-PEP-005,ALEKSANDR PETROV,PEP,MX,INTERNAL,20240101,19470428
WL-PEP-006,MARIE-CLAIRE FONTAINE,PEP,AU,INTERNAL,20240101,19570515
WL-PEP-007,ABDULLAHI IBRAHIM,PEP,AF,INTERNAL,20240101,19500612
WL-PEP-008,LUIGI FERRARI,PEP,BY,INTERNAL,20240101,19660523
WL-PEP-009,SVETLANA MOROZOVA,PEP,SE,INTERNAL,20240101,19641106
WL-PEP-010,MEHMET YILMAZ,PEP,VN,INTERNAL,20240101,19500813
WL-ADV-001,GLOBAL RESOURCES LTD,ADVMEDIA,BR,INTERNAL,20240101,
WL-ADV-002,PACIFIC HOLDINGS TRUST,ADVMEDIA,CN,INTERNAL,20240101,
WL-ADV-003,VIKTOR KOZLOV,ADVMEDIA,ZA,INTERNAL,20240101,
WL-ADV-004,EASTERN COMMERCE GROUP,ADVMEDIA,NL,INTERNAL,20240101,
WL-ADV-005,JAMES OKONKWO,ADVMEDIA,CN,INTERNAL,20240101,
WL-GEN-001,OSCAR SILVA,PEP,GB,INTERNAL,20240101,
WL-GEN-002,NINA BERGMAN,SANCTION,BR,EU,20240101,
WL-GEN-003,PIERRE LAMBERT,SANCTION,ZA,INTERNAL,20240101,
WL-GEN-004,TATYANA VOLKOV,ADVMEDIA,IQ,INTERNAL,20240101,
WL-GEN-005,ADNAN MALIK,PEP,BE,EU,20240101,
WL-GEN-006,BORIS NEKRASOV,ADVMEDIA,VN,UN,20240101,
WL-GEN-007,CARMEN DELGADO,ADVMEDIA,SY,INTERNAL,20240101,
WL-GEN-008,FRANK MUELLER,SANCTION,AF,EU,20240101,
WL-GEN-009,GEORGIA BATES,SANCTION,MM,OFAC,20240101,
WL-GEN-010,HENRIK DAHL,SANCTION,CA,EU,20240101,
WL-GEN-011,IMANI OSEI,ADVMEDIA,SY,OFAC,20240101,
