cust_id,cust_sk,full_nm_std,crr_band_cd,crr_score,valid_from_dt,valid_to_dt,curr_flg,last_review_dt
CUS-0000001,10,WILHELM KOCH,LOW,36,20200101,99991231,Y,20220626
CUS-0000002,20,MIKKO NIEMINEN,HIGH,105,20200101,99991231,Y,20230212
CUS-0000003,30,BRUNO MARTINS,LOW,13,20200101,99991231,Y,20210326
CUS-0000004,40,TOBIAS MÜLLER,HIGH,44,20200101,99991231,Y,20230626
CUS-0000005,50,OLUMIDE ADEWALE,LOW,38,20200101,99991231,Y,20230213
CUS-0000006,60,YOUSSEF BENALI,LOW,13,20200101,99991231,Y,20220610
CUS-0000007,70,NIKOLAJ CHRISTENSEN,LOW,54,20230101,99991231,Y,20220609
CUS-0000008,80,CARLOS MENDEZ,MED,24,20210101,99991231,Y,20221127
CUS-0000009,90,SARAH THOMPSON,LOW,86,20220101,99991231,Y,20211009
CUS-0000010,100,HANNE NIELSEN,MED,87,20230101,99991231,Y,20221226
CUS-0000011,110,VERA SOROKIN,LOW,15,20220101,99991231,Y,20210719
CUS-0000012,120,KONSTANTINOS PAPADOPOULOS,LOW,65,20190101,99991231,Y,20210926
CUS-0000013,130,ELENA IVANOVA,MED,102,20210101,99991231,Y,20230620
CUS-0000014,140,DAMIAN KOZLOWSKI,HIGH,61,20210101,99991231,Y,20230522
CUS-0000015,150,TOBI FEMI,HIGH,96,20200101,99991231,Y,20230307
CUS-0000016,160,FREDÉRIC LECOMTE,HIGH,116,20190101,99991231,Y,20231010
CUS-0000017,170,SØREN MADSEN,HIGH,87,20210101,99991231,Y,20220507
CUS-0000018,180,BJORN MAGNUSSON,LOW,70,20200101,99991231,Y,20220815
CUS-0000019,190,HIROSHI NAKAMURA,MED,114,20200101,99991231,Y,20230210
CUS-0000020,200,MEI-LING CHEN,LOW,13,20190101,99991231,Y,20230508
CUS-0000021,210,ANTOINE DUBOIS,LOW,63,20230101,99991231,Y,20210820
CUS-0000022,220,ABDUL RAHMAN AL-QASIM,HIGH,61,20200101,99991231,Y,20211223
CUS-0000023,230,SARAH THOMPSON,LOW,109,20220101,99991231,Y,20211123
CUS-0000024,240,AISHA MOHAMMED,HIGH,81,20200101,99991231,Y,20210326
CUS-0000025,250,MATTHIAS ZIMMERMANN,HIGH,81,20230101,99991231,Y,20210805
CUS-0000026,260,FREDÉRIC LECOMTE,HIGH,67,20200101,99991231,Y,20220820
CUS-0000027,270,TOBIAS MÜLLER,MED,117,20210101,99991231,Y,20230815
CUS-0000028,280,ADA OSEI-BONSU,LOW,66,20190101,99991231,Y,20230821
CUS-0000029,290,OLE-CHRISTIAN HAGEN,MED,50,20230101,99991231,Y,20230508
CUS-0000030,300,SIGRID OLSEN,LOW,98,20200101,99991231,Y,20210305
CUS-0000031,310,LAYLA AL-FARSI,HIGH,52,20230101,99991231,Y,20230403
CUS-0000032,320,SEUN ADESANYA,LOW,59,20230101,99991231,Y,20220702
CUS-0000033,330,KLAUS BERGMANN,HIGH,10,20210101,99991231,Y,20230128
CUS-0000034,340,SIMONE PELLEGRINI,HIGH,105,20230101,99991231,Y,20220728
CUS-0000035,350,FLORIAN BRAUN,LOW,65,20220101,99991231,Y,20230416
CUS-0000036,360,JEAN-MARC PERRIN,HIGH,117,20220101,99991231,Y,20210711
CUS-0000037,370,WOJCIECH ZIELINSKI,LOW,85,20230101,99991231,Y,20211018
CUS-0000038,380,OSCAR LINDQVIST,HIGH,120,20220101,99991231,Y,20230103
CUS-0000039,390,DAMIAN KOZLOWSKI,HIGH,37,20220101,99991231,Y,20210109
CUS-0000040,400,NIKOLAJ CHRISTENSEN,HIGH,106,20220101,99991231,Y,20220625
CUS-0000041,410,BJÖRN LINDBERG,LOW,16,20210101,99991231,Y,20220216
CUS-0000042,420,CARLOS MENDEZ,LOW,41,20200101,99991231,Y,20211103
CUS-0000043,430,FRANÇOIS LEROY,LOW,70,20190101,99991231,Y,20211005
CUS-0000044,440,FIONA MACLEOD,MED,31,20230101,99991231,Y,20230415
CUS-0000045,450,KATARZYNA WIŚNIEWSKA,LOW,49,20190101,99991231,Y,20231223
CUS-0000046,460,ASTRID ANDERSEN,HIGH,101,20200101,99991231,Y,20230110
CUS-0000047,470,KENJI WATANABE,LOW,99,20210101,99991231,Y,20211023
CUS-0000048,480,PETROS GEORGIOU,LOW,110,20190101,99991231,Y,20231026
CUS-0000049,490,MICHAEL ZHANG,MED,74,20210101,99991231,Y,20220914
CUS-0000050,500,SARAH THOMPSON,HIGH,65,20210101,99991231,Y,20210727
