cust_id,eff_dt,full_nm,full_nm_upper,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,match_flg,best_wl_id,best_sim,match_method,crr_score,crr_band_cd,pep_flag
CUS-0001021,20241231,Kenji Watanabe,KENJI WATANABE,19711105,TR,TR,IND,HLTH,N,BUSPRT,BRANCH,N,,0,,45,MED,N
CUS-0001022,20241231,Nadia Hoffmann,NADIA HOFFMANN,19990628,TH,TH,IND,EDUC,N,OTHR,DIGITAL,N,,0,,55,MED,N
CUS-0001023,20241231,Monique Laurent,MONIQUE LAURENT,19471003,AT,AT,CORP,DEAL,N,OTHR,DIGITAL,N,,0,,70,MED,N
CUS-0001024,20241231,Emma Johansson,EMMA JOHANSSON,19511123,DK,DK,IND,FINC,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001025,20241231,Paula Herrera,PAULA HERRERA,19480512,CA,CA,IND,RETL,N,SAL,BRANCH,N,,0,,15,LOW,N
CUS-0001026,20241231,Konstantinos Papadopoulos,KONSTANTINOS PAPADOPOULOS,19560306,GB,GB,IND,HLTH,N,BUSPRT,INTRO,N,,0,,35,LOW,N
CUS-0001027,20241231,Katarzyna Wiśniewska,KATARZYNA WISNIEWSKA,19741109,MX,MX,TRUST,FINC,N,BUSPRT,INTRO,N,,0,,75,MED,N
CUS-0001028,20241231,Blessing Osei,BLESSING OSEI,19730619,DK,DK,IND,CASI,N,INVST,INTRO,N,,0,,50,MED,N
CUS-0001029,20241231,Henrique Sousa,HENRIQUE SOUSA,19690804,AU,AU,FUND,RETL,N,BUSPRT,DIGITAL,N,,0,,50,MED,N
CUS-0001030,20241231,Abigail Kessler,ABIGAIL KESSLER,19981113,BE,BE,IND,EDUC,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001031,20241231,Lars Andersen,LARS ANDERSEN,19630420,BE,BE,FUND,EXEC,N,INHRT,DIGITAL,N,,0,,40,MED,N
CUS-0001032,20241231,Ester Johansson,ESTER JOHANSSON,19911122,NL,NL,FUND,FINC,N,INHRT,DIGITAL,N,,0,,40,MED,N
CUS-0001033,20241231,Michael Zhang,MICHAEL ZHANG,19681205,DK,DK,IND,EXEC,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001034,20241231,Wojciech Zielinski,WOJCIECH ZIELINSKI,19790617,TH,TH,IND,GAMB,N,SAL,BRANCH,N,,0,,60,MED,N
CUS-0001035,20241231,Patricia O'Connor,PATRICIA O'CONNOR,19660215,SE,SE,IND,RETL,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001036,20241231,Henrik Bergström,HENRIK BERGSTROM,19700109,GB,GB,IND,GAMB,N,INHRT,DIGITAL,N,,0,,45,MED,N
CUS-0001037,20241231,Robert Wilson,ROBERT WILSON,19680222,CA,CA,IND,RETL,N,INHRT,DIGITAL,N,,0,,20,LOW,N
CUS-0001038,20241231,Petros Georgiou,PETROS GEORGIOU,19491127,DE,DE,TRUST,HLTH,N,INVST,INTRO,N,,0,,45,MED,N
CUS-0001039,20241231,Tom O'Brien,TOM O'BRIEN,19470516,NO,NO,IND,GAMB,N,SAL,BRANCH,N,,0,,40,MED,N
CUS-0001040,20241231,Chiara Bianchi,CHIARA BIANCHI,19921218,VN,VN,TRUST,ENGG,N,BUSPRT,DIGITAL,N,,0,,70,MED,N
CUS-0001041,20241231,Brigitte Hoffmann,BRIGITTE HOFFMANN,19840709,NO,NO,FUND,ENGG,N,BUSPRT,BRANCH,N,,0,,45,MED,N
CUS-0001042,20241231,Min-Jun Lee,MIN-JUN LEE,19511112,YE,YE,IND,CASI,N,BUSPRT,BRANCH,N,,0,,90,HIGH,N
CUS-0001043,20241231,Peter Novak,PETER NOVAK,19520803,DK,DK,IND,EXEC,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001044,20241231,Fatou Diallo,FATOU DIALLO,19600326,DK,DK,FUND,EDUC,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001045,20241231,Esther Owusu,ESTHER OWUSU,19590625,FR,FR,TRUST,FINC,N,INHRT,BRANCH,N,,0,,35,LOW,N
CUS-0001046,20241231,Stavros Karagiannidis,STAVROS KARAGIANNIDIS,19960304,IN,IN,IND,RETL,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001047,20241231,Haruto Yamamoto,HARUTO YAMAMOTO,19460309,DE,DE,IND,EXEC,N,INVST,BRANCH,N,,0,,15,LOW,N
CUS-0001048,20241231,Thomas Carey,THOMAS CAREY,19940617,MX,MX,TRUST,MGMT,N,OTHR,BRANCH,N,,0,,70,MED,N
CUS-0001049,20241231,Kofi Asante,KOFI ASANTE,20001117,CA,CA,TRUST,FINC,N,INHRT,BRANCH,N,,0,,35,LOW,N
