cust_id,eff_dt,full_nm,full_nm_upper,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,match_flg,best_wl_id,best_sim,match_method,crr_score,crr_band_cd,pep_flag,case_priority,edd_reason_txt
CUS-0001195,20241231,Patricia O'Connor,PATRICIA O'CONNOR,19971222,MM,MM,FUND,RETL,Y,INHRT,DIGITAL,N,,0,,120,HIGH,Y,2,Confirmed PEP; High-risk jurisdiction
CUS-0001194,20241231,Wojciech Zielinski,WOJCIECH ZIELINSKI,19790914,PH,PH,FUND,EDUC,Y,BUSPRT,DIGITAL,N,,0,,110,HIGH,Y,2,Confirmed PEP
CUS-0001153,20241231,Silvia Torres,SILVIA TORRES,19800314,NO,NO,CORP,MGMT,Y,OTHR,BRANCH,N,,0,,80,HIGH,Y,2,Confirmed PEP
CUS-0001201,20241231,Brigitte Hoffmann,BRIGITTE HOFFMANN,19581005,AT,AT,TRUST,EXEC,Y,SAL,DIGITAL,N,,0,,80,HIGH,Y,2,Confirmed PEP
CUS-0001050,20241231,Samuel Osei,SAMUEL OSEI,19721104,DK,DK,IND,EXEC,Y,BUSPRT,DIGITAL,N,,0,,70,MED,Y,2,Confirmed PEP
CUS-0001193,20241231,Michael Zhang,MICHAEL ZHANG,19770812,AU,AU,IND,FINC,Y,SAL,BRANCH,N,,0,,55,MED,Y,2,Confirmed PEP
CUS-0001180,20241231,Riku Mäkinen,RIKU MAKINEN,19710310,YE,YE,FUND,GAMB,N,INHRT,DIGITAL,N,,0,,105,HIGH,N,3,High CRR score; High-risk jurisdiction
CUS-0001095,20241231,Anya Sharma,ANYA SHARMA,19980823,IR,IR,FUND,DEAL,N,SAL,BRANCH,N,,0,,100,HIGH,N,3,High CRR score; High-risk jurisdiction
CUS-0001168,20241231,Chiamaka Obi,CHIAMAKA OBI,19741126,CN,CN,TRUST,GAMB,N,BUSPRT,INTRO,N,,0,,100,HIGH,N,3,High CRR score
CUS-0001057,20241231,Yuki Tanaka,YUKI TANAKA,19830512,BR,BR,FUND,GAMB,N,OTHR,BRANCH,N,,0,,95,HIGH,N,3,High CRR score
CUS-0001089,20241231,Maria Garcia,MARIA GARCIA,19920808,YE,YE,FUND,FINC,N,BUSPRT,INTRO,N,,0,,95,HIGH,N,3,High CRR score; High-risk jurisdiction
CUS-0001135,20241231,Alba Ortega,ALBA ORTEGA,19481018,TH,TH,FUND,DEAL,N,BUSPRT,DIGITAL,N,,0,,95,HIGH,N,3,High CRR score
CUS-0001042,20241231,Min-Jun Lee,MIN-JUN LEE,19511112,YE,YE,IND,CASI,N,BUSPRT,BRANCH,N,,0,,90,HIGH,N,3,High CRR score; High-risk jurisdiction
CUS-0001063,20241231,Olumide Adewale,OLUMIDE ADEWALE,19480306,TH,TH,FUND,DEAL,N,INHRT,INTRO,N,,0,,90,HIGH,N,3,High CRR score
CUS-0001099,20241231,Catalina Ionescu,CATALINA IONESCU,19451012,MM,MM,TRUST,FINC,N,OTHR,BRANCH,N,,0,,90,HIGH,N,3,High CRR score; High-risk jurisdiction
CUS-0001052,20241231,Léa Moreau,LEA MOREAU,19740920,AT,AT,FUND,DEAL,N,BUSPRT,INTRO,N,,0,,80,HIGH,N,3,High CRR score
CUS-0001075,20241231,María José Rodríguez,MARIA JOSE RODRIGUEZ,19811121,PH,PH,CORP,CASI,N,INHRT,INTRO,N,,0,,80,HIGH,N,3,High CRR score
CUS-0001147,20241231,Pedro Ferreira,PEDRO FERREIRA,19570409,CH,CH,TRUST,DEAL,N,OTHR,DIGITAL,N,,0,,80,HIGH,N,3,High CRR score
CUS-0001103,20241231,Nkechi Eze,NKECHI EZE,19751106,MM,MM,IND,ENGG,N,OTHR,DIGITAL,N,,0,,75,MED,N,4,High-risk jurisdiction
